authorName
"Hinton, S. E."
"Johnston, Patricia Irwin"
"Heroux-Murphy, Anne"
"Leggett, Trevor P."
"Langdon, Philip"
"Schultz, Patricia"
"Wilson, Beth"
"Nicholi, Armand M."
"Stahl, Hilda"
"Oldenburg, Don"
"Grote, Joann A."
"Bell, David Owen"
"Haskins, Lori"
"Shelley, Mary Wollstonecraft"
"Charlesworth, Edward A."
"Cohlene, Terri"
"Kanter, Rosabeth M."
"Tangerman, E. J."
"Musey, Reuben L"
"Wheeler, Tom"
"Darling, James David"
"Moore, Geoffrey"
"Head, Suzanne"
Harvard Medical School Mind/Body Medical Institute
"Millard, Scott"
Elizabeth Cady Stanton
"Moe, Martin A."
"Lofts, Norah"
"Calderone, Anthony"
"Weinerman, Lisa"
"Diehl, Margaret"
"Honeywood, Varnette P."
"Fishel, Elizabeth"
"Schaller, Lyle E."
"Harless, Andrew"
"Oncken, William"
"Fleming, John"
"Dr., Ph.D."
"Prochnow, Herbert V."
"Graves, Bonnie B."
"Grimshaw, Denise"
"Baeder, John"
"Hanks, Margaret"
"Boal, John T."
"Walsh, Marrie"
"Mueller, William"
"Schwartz, Hans Peter"
"Jauck, Andrea"
"Riggs, David A."
"Mitchell, Yvonne"
Linda Aber
Whitecap Books
"Canright, David"
"Fogler, Janet"
"Dave's Mom, Cagle"
"Crawford-Mason, Clare"
"Luce, Robert B."
"Alterowitz, Ralph"
"Martin, Jean"
"Winsor, Janice"
"Cogswell, James A."
"Donovan, Hedley"
"Taylor, Ed"
"Dunn, Jerry"
"Cosgrove, Benedict"
"Allen, Leslie"
"Butman, John"
Unnamed
RYBACK DAVID
"Bergen, Polly"
"Dherbier, Yann-Brice"
"McCullough, Susan"
"Curtis, Brian"
"Stephens, Meic"
"Cowan, Paul"
"Crosland, Susan"
"Groom, Nancy"
"Caple, Scott"
"Freed, Donald"
"Bolger, Doreen"
"Gewirtz, Elaine Waldorf"
"Seife, Charles"
"Moller, Mark K."
"Loulan, Joann"
"Meagher, Robert Emmet"
"Bly, Robert W."
"Battaglia, Aurelius"
"Cole, Lewis"
"Vermeij, Geerat"
"Duncan, David Douglas"
"Robbins, Maria"
"Tausworthe, Robert C."
"Gailen, Judy"
"Parfit, Michael"
"Milton, Simon"
"Thompson, Mark S."
"Gillian, Terry"
Brooklyn Museum
"Packer, Joy"
"Baumgart, Klaus"
Andrea
"Everroad, J."
"Jack Challoner, Dawn Sirett"
"King, Barbara Lewis"
"Bowdoin, Ruth S"
Randolph Vance
"Strain, Priscilla"
"Bastone, William"
"Gotlieb, C. C."
"Regan, Geoffrey"
Inc Staff Congressional Quarterly
"Burke, Edmund R."
"Chin, Frank"
"Harris, Leon A."
"Palast, Greg"
"Carley, Richard"
"Crile, George"
"Changeux, Jean-Pierre"
"Stevenson, Robert"
"Bezic, Sandra"
